Description Size Speed Range Firepower Cargo
350r 1 9 2 3 0
Avenger 2 5 4 3 2
Carrack 6 2 10 4 6
Constellation 4 5 7 3 4
Hawk 1 3 2 4 0
Hornet 2 5 3 4 1
Hurricane 2 5 3 5 0
Idris 8 2 7 10 6
m50 1 10 2 2 0
Merchantman 7 3 5 6 8
Orion 10 1 6 2 9
Sabre 2 7 2 5 0
Vanguard 3 4 5 5 2
Juno 1 9 2 3 0
ISS 2 5 4 3 2
Atlantis 6 2 10 4 6
Mir 4 5 7 3 4
IO 1 3 2 4 0
Challenger 2 5 3 4 1
Endeavour 2 5 3 5 0
Galileo 8 2 7 10 6
Skylan 1 10 2 2 0
Surveyor 7 3 5 6 8
Orbitor 10 1 6 2 9
Buran 2 7 2 5 0
DeepImpact 3 4 5 5 2
Stardust 1 9 2 3 0
JamesWebb 2 5 4 3 2
Voyager 6 2 10 4 6
Pioneer1 4 5 7 3 4
Ulysses 1 3 2 4 0
Freya 2 5 3 4 1
Thor 2 5 3 5 0
Boeing 8 2 7 10 6
BFT 1 10 2 2 0
Genesis 7 3 5 6 8
Curiosity 10 1 6 2 9
Europa 2 7 2 5 0
Luna 3 4 5 5 2
Valeris 2 5 4 3 2
